plate_00
[ 0] u: [-0.437, 1.213] v: [-0.668, 0.722]
[ 1] u: [-0.446, 1.139] v: [-0.577, 0.577]
[ 2] u: [-0.444, 1.149] v: [-0.573, 0.573]
[ 3] u: [-0.511, 1.261] v: [-0.585, 0.599]
[ 4] u: [-0.514, 1.181] v: [-0.596, 0.594]
[ 5] u: [-0.488, 1.179] v: [-0.589, 0.590]
[ 6] u: [-0.577, 1.214] v: [-0.585, 0.598]
[ 7] u: [-0.548, 1.192] v: [-0.603, 0.587]
[ 8] u: [-0.539, 1.216] v: [-0.592, 0.606]
[ 9] u: [-0.556, 1.206] v: [-0.593, 0.607]
[10] u: [-0.541, 1.205] v: [-0.600, 0.592]
[11] u: [-0.544, 1.206] v: [-0.603, 0.593]
[12] u: [-0.562, 1.203] v: [-0.599, 0.599]
[13] u: [-0.550, 1.208] v: [-0.593, 0.599]
[14] u: [-0.557, 1.208] v: [-0.601, 0.601]
[15] u: [-0.563, 1.210] v: [-0.602, 0.594]
[16] u: [-0.565, 1.202] v: [-0.600, 0.597]
[17] u: [-0.532, 1.204] v: [-0.589, 0.607]
[18] u: [-0.570, 1.212] v: [-0.593, 0.605]
[19] u: [-0.570, 1.214] v: [-0.600, 0.587]
plate_10
[ 0] u: [-1.224, 1.789] v: [-1.242, 0.886]
[ 1] u: [-1.329, 1.823] v: [-1.063, 1.029]
[ 2] u: [-1.280, 1.963] v: [-1.155, 1.179]
[ 3] u: [-1.284, 1.903] v: [-1.278, 1.087]
[ 4] u: [-1.170, 1.755] v: [-1.096, 0.982]
[ 5] u: [-1.024, 1.746] v: [-1.039, 0.900]
[ 6] u: [-1.018, 1.724] v: [-1.035, 0.919]
[ 7] u: [-1.016, 1.720] v: [-1.033, 0.913]
[ 8] u: [-1.010, 1.720] v: [-1.032, 0.910]
[ 9] u: [-1.007, 1.720] v: [-1.029, 0.912]
[10] u: [-1.007, 1.718] v: [-1.027, 0.911]
[11] u: [-1.006, 1.716] v: [-1.028, 0.909]
[12] u: [-1.005, 1.716] v: [-1.027, 0.908]
[13] u: [-1.004, 1.715] v: [-1.027, 0.908]
[14] u: [-1.003, 1.715] v: [-1.027, 0.908]
[15] u: [-1.004, 1.715] v: [-1.026, 0.908]
[16] u: [-1.003, 1.714] v: [-1.026, 0.907]
[17] u: [-1.003, 1.715] v: [-1.027, 0.907]
[18] u: [-1.014, 1.719] v: [-1.034, 0.909]
[19] u: [-1.010, 1.720] v: [-1.030, 0.913]
plate_20
[ 0] u: [-1.928, 2.362] v: [-2.096, 1.318]
[ 1] u: [-1.725, 2.726] v: [-1.563, 1.715]
[ 2] u: [-1.556, 2.236] v: [-1.403, 1.408]
[ 3] u: [-1.827, 2.329] v: [-1.563, 1.406]
[ 4] u: [-1.571, 2.446] v: [-1.618, 1.346]
[ 5] u: [-1.635, 2.286] v: [-1.561, 1.404]
[ 6] u: [-1.620, 2.282] v: [-1.574, 1.285]
[ 7] u: [-1.422, 2.331] v: [-1.578, 1.409]
[ 8] u: [-1.365, 2.347] v: [-1.619, 1.454]
[ 9] u: [-1.593, 2.396] v: [-1.534, 1.457]
[10] u: [-1.644, 2.514] v: [-1.557, 1.482]
[11] u: [-1.808, 2.536] v: [-1.602, 1.457]
[12] u: [-1.824, 2.432] v: [-1.596, 1.557]
[13] u: [-1.783, 2.213] v: [-1.429, 1.431]
[14] u: [-1.678, 2.389] v: [-1.436, 1.457]
[15] u: [-1.426, 2.324] v: [-1.600, 1.448]
[16] u: [-1.568, 2.428] v: [-1.417, 1.489]
[17] u: [-1.445, 2.377] v: [-1.575, 1.362]
[18] u: [-1.481, 2.369] v: [-1.589, 1.406]
[19] u: [-1.557, 2.339] v: [-1.640, 1.347]
plate_30
[ 0] u: [-2.112, 2.818] v: [-2.299, 1.955]
[ 1] u: [-2.059, 3.346] v: [-1.845, 2.009]
[ 2] u: [-1.891, 2.815] v: [-1.690, 1.886]
[ 3] u: [-1.970, 2.926] v: [-1.638, 1.744]
[ 4] u: [-1.950, 2.916] v: [-1.893, 1.759]
[ 5] u: [-1.818, 3.101] v: [-2.080, 1.740]
[ 6] u: [-2.090, 3.681] v: [-1.848, 1.789]
[ 7] u: [-2.090, 3.027] v: [-1.873, 1.753]
[ 8] u: [-1.961, 3.463] v: [-1.839, 1.621]
[ 9] u: [-2.009, 3.020] v: [-1.893, 2.007]
[10] u: [-1.869, 2.938] v: [-1.707, 1.919]
[11] u: [-1.938, 3.457] v: [-1.679, 1.831]
[12] u: [-2.023, 3.469] v: [-2.074, 1.811]
[13] u: [-1.989, 3.797] v: [-1.868, 1.717]
[14] u: [-1.837, 3.246] v: [-1.714, 1.819]
[15] u: [-1.901, 2.983] v: [-2.026, 1.874]
[16] u: [-1.977, 3.577] v: [-2.038, 1.806]
[17] u: [-2.163, 3.643] v: [-2.016, 1.875]
[18] u: [-2.289, 3.533] v: [-1.832, 1.950]
[19] u: [-2.010, 2.722] v: [-2.045, 1.786]
wing_00
[ 0] u: [-0.628, 1.345] v: [-0.478, 0.718]
[ 1] u: [-0.600, 1.397] v: [-0.554, 0.811]
[ 2] u: [-0.581, 1.402] v: [-0.759, 0.712]
[ 3] u: [-0.571, 1.373] v: [-0.644, 0.708]
[ 4] u: [-0.597, 1.386] v: [-0.598, 0.722]
[ 5] u: [-0.600, 1.407] v: [-0.562, 0.728]
[ 6] u: [-0.608, 1.418] v: [-0.519, 0.729]
[ 7] u: [-0.605, 1.423] v: [-0.525, 0.735]
[ 8] u: [-0.623, 1.433] v: [-0.533, 0.735]
[ 9] u: [-0.621, 1.432] v: [-0.530, 0.740]
[10] u: [-0.603, 1.444] v: [-0.535, 0.745]
[11] u: [-0.583, 1.415] v: [-0.539, 0.734]
[12] u: [-0.588, 1.417] v: [-0.528, 0.735]
[13] u: [-0.632, 1.442] v: [-0.531, 0.743]
[14] u: [-0.624, 1.441] v: [-0.523, 0.735]
[15] u: [-0.594, 1.425] v: [-0.533, 0.738]
[16] u: [-0.580, 1.416] v: [-0.538, 0.735]
[17] u: [-0.580, 1.422] v: [-0.535, 0.736]
[18] u: [-0.619, 1.431] v: [-0.536, 0.736]
[19] u: [-0.615, 1.429] v: [-0.535, 0.735]
wing_05
[ 0] u: [-0.924, 1.517] v: [-0.823, 0.586]
[ 1] u: [-1.041, 1.558] v: [-0.735, 0.821]
[ 2] u: [-0.790, 1.505] v: [-0.739, 0.734]
[ 3] u: [-0.691, 1.433] v: [-0.634, 0.691]
[ 4] u: [-0.676, 1.418] v: [-0.623, 0.684]
[ 5] u: [-0.670, 1.416] v: [-0.624, 0.680]
[ 6] u: [-0.665, 1.412] v: [-0.623, 0.678]
[ 7] u: [-0.666, 1.411] v: [-0.623, 0.677]
[ 8] u: [-0.665, 1.411] v: [-0.623, 0.676]
[ 9] u: [-0.665, 1.410] v: [-0.623, 0.676]
[10] u: [-0.664, 1.410] v: [-0.623, 0.675]
[11] u: [-0.664, 1.410] v: [-0.624, 0.675]
[12] u: [-0.664, 1.410] v: [-0.624, 0.675]
[13] u: [-0.666, 1.410] v: [-0.635, 0.688]
[14] u: [-0.781, 1.463] v: [-0.717, 0.720]
[15] u: [-0.691, 1.441] v: [-0.661, 0.685]
[16] u: [-0.666, 1.422] v: [-0.631, 0.674]
[17] u: [-0.664, 1.417] v: [-0.630, 0.671]
[18] u: [-0.660, 1.414] v: [-0.627, 0.672]
